unit,hate-label
circumscribe,0
circumvent,0
circus,1
ckoam,1
ckockroach,1
ckockroch,1
ckocroach,1
ckocroch,1
ckokroach,1
ckokroch,1
clack,1
clacka,1
claim,0
clammy,0
clamor,0
clan,1
clann,1
clannish,1
clans,1
clansmen,1
clanswomen,1
claptrap,1
clash,0
class aves,1
classitis,1
claustrophobia,0
claustrophobic,0
claw,0
claypole,1
cleave,0
clem,1
clench,0
clenching,1
clerical,1
clerk,1
clichéd,1
clicktivism,1
cliffhanger,0
climbdown,0
cling,0
clingy,1
clipcock,1
clique,1
cliques,1
cliquey,1
clit,1
clithead,1
clitlicker,1
clitoromania,1
clitsucker,1
clitted,1
cloaca,1
clobber,0
clod,1
clodpole,1
clog,0
clogged,0
cloistered,0
close,0
close-minded,1
closed,0
closed-minded,1
closefistedness,1
closeness,1
closet faggot,1
clothes horse,1
clothes horses,1
clothes maiden,1
clothes maidens,1
clotheshorse,1
clotheshorses,1
clown,0
clownish,0
clowns,1
cloy,0
cloying,0
clueless,1
clumsiness,0
clumsy,0
clunky,0
clusterfuck,1
clutter,0
cluttered,0
coam,1
coarse,0
coarseness,1
cobbler,1
cobra,1
cocaroah,1
cock,1
cockaholic,1
cockalier,1
cockaludicrous,1
cockaroach,1
cockblock,0
cockbrain,1
cockbreath,1
cockerel,1
cockface,1
cockfag,1
cockhole,1
cockiness,0
cocking,1
cocklicker,1
cockmonger,0
cockmunch,1
cockmuncher,1
cockooo,0
cockoroach,1
cockraoch,1
cockroach,1
cockroaches,1
cockroch,1
cockserver,1
cockshaft,1
cockshit,1
cockshot,1
cockster,1
cocksucker,1
cocksucking,1
cocksure,1
cocktease,0
cockteaser,1
cockup,1
cockwomble,1
cocky,0
cocotte,1
cocroach,1
cocroch,1
coddle,0
codswallop,1
coen berrier,1
coerce,0
coercion,0
coercive,0
coersive sex,1
coffee,1
coign,1
cojones,1
cokroch,1
cold,0
coldness,0
coleworts,1
collaborator,1
collapse,1
collide,0
collision,0
collude,0
collusion,0
colon sex,1
colonialist,0
coluber berus,1
coluber caeruleus,1
coluber coeruleus,1
coluber melanis,1
coluber prester,1
coluber sachalinensis continentalis,1
coluber scytha,1
colwort,1
coma,0
comare,1
comaré,1
comatose,0
combative,0
come out of the closet,1
comfort room,1
comfort rooms,1
comfort station,1
comfortless,1
comic,1
comical,0
comment,1
commercial sex,1
commie,1
commies,1
commiserate,0
commissionaire,1
commo,1
common,1
commoner,1
commoners,1
commonness,1
commonplace,0
commotion,0
communist,1
comorra,1
comparison,0
compel,0
complacence,1
complacency,1
complacent,0
complain,0
complainer,0
complaint,0
complex,1
compliance,1
complicate,0
complicated,0
complication,0
complicator,1
complicit,0
complicity,0
complot,1
comptroller,1
comptroller-general,1
comptrollers,1
compulsion,0
compulsive,0
compulsive sexual behavior,1
compulsive sexual behaviors,1
compulsive sexual behaviour,1
compulsive sexual behaviours,1
compulsive sexualities,1
compulsive sexuality,1
compulsively sexual,1
compunction,0
computer geek,1
computer nerds,1
comàre,1
con,0
con man,0
conceal,0
concealing the truth,1
concede,0
conceit,1
conceited,1
conceitedness,0
concern,0
concerned,0
concession,1
concoct,0
concourse,1
